url_path,views_total,views_unique
/hseera/python-utilities,53,7
/hseera/python-utilities/pulse,39,1
/hseera/python-utilities/graphs/traffic,30,1
/hseera/python-utilities/blob/main/TestPlan_results_001.csv,8,1
/hseera/python-utilities/blob/main/images/heatmap.png,3,2
/hseera/python-utilities/blob/main/generate_acn_abn.py,2,1
/hseera/python-utilities/blob/main/TestPlan_results_002.csv,2,1
/hseera/python-utilities/community,2,1
/hseera/python-utilities/edit/main/TestPlan_results_001.csv,2,1
/hseera/python-utilities/blame/main/TestPlan_results_001.csv,1,1
